STT,Mã hồ sơ,Nhóm trạng thái,Trạng thái chi tiết,Số bản ghi hiện tại,Kiểm chứng 10%,Bản ghi giữ lại (#1),Thời gian cập nhật
48,H31.05.02.H31.09.2009.328,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:39
49,H31.05.02.H31.09.2009.329,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:45
50,H31.05.02.H31.09.2009.330,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:51
51,H31.05.02.H31.09.2009.331,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:57:57
52,H31.05.02.H31.09.2009.332,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:03
53,H31.05.02.H31.09.2009.333,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:09
54,H31.05.02.H31.09.2009.334,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:15
55,H31.05.02.H31.09.2009.335,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125),2026-09-21 12:03:58
56,H31.05.02.H31.09.2009.336,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:27
57,H31.05.02.H31.09.2009.337,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179),2026-09-21 12:04:01
58,H31.05.02.H31.09.2009.338,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:39
59,H31.05.02.H31.09.2009.339,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01-41),2026-09-21 12:04:03
60,H31.05.02.H31.09.2009.340,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:51
61,H31.05.02.H31.09.2010.341,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:58:57
62,H31.05.02.H31.09.2010.342,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2010 (từ số 69 - 141),2026-09-21 12:04:05
63,H31.05.02.H31.09.2010.343,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:09
64,H31.05.02.H31.09.2010.344,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:15
65,H31.05.02.H31.09.2010.345,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2010 
(từ số 61 - 109)",2026-09-21 12:04:08
66,H31.05.02.H31.09.2010.346,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:27
67,H31.05.02.H31.09.2010.347,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:33
68,H31.05.02.H31.09.2010.348,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:39
69,H31.05.02.H31.09.2010.349,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:45
70,H31.05.02.H31.09.2010.350,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2010 (từ số 01 - 117),2026-09-21 12:04:11
71,H31.05.02.H31.09.2010.351,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 07:59:57
72,H31.05.02.H31.09.2010.352,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:03
73,H31.05.02.H31.09.2010.353,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:09
74,H31.05.02.H31.09.2010.354,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:15
75,H31.05.02.H31.09.2010.355,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:21
76,H31.05.02.H31.09.2010.356,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:27
77,H31.05.02.H31.09.2010.357,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2010 (từ số 01-88),2026-09-21 14:04:29
78,H31.05.02.H31.09.2010.358,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:39
79,H31.05.02.H31.09.2011.359,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm
2011 (từ số 01 - 99)",2026-09-21 12:04:14
80,H31.05.02.H31.09.2011.360,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:51
81,H31.05.02.H31.09.2011.361,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:00:57
82,H31.05.02.H31.09.2011.362,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 51 - 99),2026-09-21 14:04:33
83,H31.05.02.H31.09.2011.363,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:01:09
84,H31.05.02.H31.09.2011.364,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 58),2026-09-21 14:04:35
85,H31.05.02.H31.09.2011.365,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Hồ sơ Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 59-105),2026-09-21 14:04:36
86,H31.05.02.H31.09.2011.366,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 105 – 192),2026-09-21 14:04:36
87,H31.05.02.H31.09.2011.367,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 193 - 260),2026-09-21 14:04:36
88,H31.05.02.H31.09.2011.368,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 125),2026-09-21 14:04:36
89,H31.05.02.H31.09.2011.369,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011(từ số 126 - 182),2026-09-21 14:04:36
90,H31.05.02.H31.09.2011.370,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 183 - 283),2026-09-21 14:04:37
91,H31.05.02.H31.09.2011.371,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 285 - 418),2026-09-21 14:04:37
92,H31.05.02.H31.09.2011.372,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 418 - 513),2026-09-21 14:04:37
93,H31.05.02.H31.09.2011.373,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 514 - 685),2026-09-21 14:04:37
94,H31.05.02.H31.09.2011.374,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Kết quả thẩm định của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 38),2026-09-21 14:04:37
95,H31.05.02.H31.09.2011.375,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Giấy phép xây dựng của Sở Xây dựng tỉnh Hưng Yên năm 2011 (từ số 01 - 59),2026-09-21 14:04:37
96,H31.05.02.H31.09.2011.376,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu giấy phép thầu của Sở Xây dựng tỉnh Hưng Yên năm 2011,2026-09-21 14:04:38
97,H31.05.02.H31.09.2011.377,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Chứng chỉ Quy hoạch của Sở Xây dựng tỉnh Hưng Yên năm 2011,2026-09-21 14:04:38
98,H31.05.02.H31.09.2012.378,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 105),2026-09-21 14:04:38
99,H31.05.02.H31.09.2012.379,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 58),2026-09-21 14:04:38
100,H31.05.02.H31.09.2012.380,HOÀN THÀNH,Checklist: Đã hoàn thành (Tự động Pass),1,false,Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 62 - 104),2026-09-21 14:04:38
101,H31.05.02.H31.09.2012.381,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:02:47
102,H31.05.02.H31.09.2012.382,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:02:53
103,H31.05.02.H31.09.2012.383,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:02:59
104,H31.05.02.H31.09.2012.384,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:05
105,H31.05.02.H31.09.2012.385,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:11
106,H31.05.02.H31.09.2012.386,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:17
107,H31.05.02.H31.09.2012.387,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 01 - 112),2026-09-21 12:04:20
108,H31.05.02.H31.09.2012.388,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:29
109,H31.05.02.H31.09.2012.389,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:35
110,H31.05.02.H31.09.2012.390,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2012 (từ số 348-391),2026-09-21 12:04:23
111,H31.05.02.H31.09.2012.391,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:47
112,H31.05.02.H31.09.2012.392,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:53
113,H31.05.02.H31.09.2012.393,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:03:59
114,H31.05.02.H31.09.2012.394,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:05
115,H31.05.02.H31.09.2012.395,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:11
116,H31.05.02.H31.09.2013.396,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:17
117,H31.05.02.H31.09.2013.397,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:23
118,H31.05.02.H31.09.2013.398,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:29
119,H31.05.02.H31.09.2013.399,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:34
120,H31.05.02.H31.09.2013.400,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:40
121,H31.05.02.H31.09.2013.401,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2013 (từ số 01 - 45),2026-09-21 12:04:26
122,H31.05.02.H31.09.2013.402,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:52
123,H31.05.02.H31.09.2013.403,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:04:58
124,H31.05.02.H31.09.2013.404,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:04
125,H31.05.02.H31.09.2013.405,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:10
126,H31.05.02.H31.09.2013.406,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:16
127,H31.05.02.H31.09.2013.407,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2013 (từ số 200a - 275),2026-09-21 12:04:29
128,H31.05.02.H31.09.2013.408,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:28
129,H31.05.02.H31.09.2013.409,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2013 (từ số 78-177),2026-09-21 12:04:32
130,H31.05.02.H31.09.2013.410,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:40
131,H31.05.02.H31.09.2013.411,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:46
132,H31.05.02.H31.09.2013.412,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:52
133,H31.05.02.H31.09.2013.413,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:05:58
134,H31.05.02.H31.09.2013.414,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:04
135,H31.05.02.H31.09.2013.415,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:10
136,H31.05.02.H31.09.2013.416,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:16
137,H31.05.02.H31.09.2013.417,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:22
138,H31.05.02.H31.09.2013.418,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:28
139,H31.05.02.H31.09.2013.419,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:34
140,H31.05.02.H31.09.2014.420,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:40
141,H31.05.02.H31.09.2014.421,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:46
142,H31.05.02.H31.09.2014.422,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:52
143,H31.05.02.H31.09.2014.423,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:06:58
144,H31.05.02.H31.09.2014.424,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:04
145,H31.05.02.H31.09.2014.425,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:10
146,H31.05.02.H31.09.2014.426,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:16
147,H31.05.02.H31.09.2014.427,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:22
148,H31.05.02.H31.09.2014.428,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:28
149,H31.05.02.H31.09.2014.429,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:34
150,H31.05.02.H31.09.2014.430,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:40
151,H31.05.02.H31.09.2014.431,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:46
152,H31.05.02.H31.09.2014.432,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:52
153,H31.05.02.H31.09.2014.433,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:07:58
154,H31.05.02.H31.09.2014.434,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:04
155,H31.05.02.H31.09.2014.435,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:10
156,H31.05.02.H31.09.2014.436,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:16
157,H31.05.02.H31.09.2014.437,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:22
158,H31.05.02.H31.09.2014.438,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:28
159,H31.05.02.H31.09.2014.439,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:34
160,H31.05.02.H31.09.2014.440,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:40
161,H31.05.02.H31.09.2014.441,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:46
162,H31.05.02.H31.09.2014.442,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:52
163,H31.05.02.H31.09.2015.443,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:08:58
164,H31.05.02.H31.09.2015.444,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:04
165,H31.05.02.H31.09.2015.445,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:10
166,H31.05.02.H31.09.2015.446,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Tập lưu Thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2015 (từ số 01-37),2026-09-21 12:04:39
167,H31.05.02.H31.09.2015.447,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:22
168,H31.05.02.H31.09.2015.448,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:28
169,H31.05.02.H31.09.2015.449,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:34
170,H31.05.02.H31.09.2015.450,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:40
171,H31.05.02.H31.09.2015.451,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:46
172,H31.05.02.H31.09.2015.452,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:52
173,H31.05.02.H31.09.2015.453,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:09:58
174,H31.05.02.H31.09.2015.454,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:10:04
175,H31.05.02.H31.09.2015.455,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:10:10
176,H31.05.02.H31.09.2015.456,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:10:16
177,H31.05.02.H31.09.2015.457,HOÀN THÀNH,Chưa xử lý,-,false,-,2026-09-19 08:10:22
178,H31.05.02.H31.09.2017.2178,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án thiết kế kiến trúc điều chỉnh, bổ sung các mẫu nhà của dự án khu biệt thự Thủy Nguyên, thuộc phân khu 9-12 khu đô thị thương mại và du lịch Văn Giang (Ecopark).",2026-09-21 11:21:13
179,H31.05.02.H31.09.2017.2177,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án thiết kế kiến trúc điều chỉnh một số mẫu Biệt thự của dự án Khu biệt thự Thủy Nguyên thuộc phân khu 9-12 khu đô thị thương mại và du lịch Văn Giàng (Ecopark) tại xã Xuân Quan, huyện Văn Giang",2026-09-21 11:21:16
